iso_code,country,year,empratio,gdpcap,laborshare,whours,empratio_fraction,estimated_hourly_wage,log_estimated_hourly_wage
ARG,Argentina,1991,56.669,18295.6092,0.441023617982864,1837.9608265684,0.5666899999999999,7.746881680054128,2.0472903985312123
ARG,Argentina,1992,56.831,19476.28406,0.441023617982864,1826.0,0.56831,8.277170030444202,2.1135011262130083
ARG,Argentina,1993,55.275,20791.34515,0.441023617982864,1850.33780699633,0.55275,8.965296598428388,2.1933611905509234
ARG,Argentina,1994,54.716,21711.84279,0.431845158338547,1875.0,0.54716,9.139219911269526,2.2125750329472167
ARG,Argentina,1995,49.937,20819.49995,0.393929451704025,1881.96113800855,0.49937,8.726812528795197,2.166400186203583
ARG,Argentina,1996,51.39,21695.59495,0.366972714662552,1888.94811998636,0.5139,8.20175308849131,2.1043479226995365
ARG,Argentina,1997,53.487,23172.15834,0.356873691082001,1895.96104188194,0.5348700000000001,8.154613301201541,2.098583816334521
ARG,Argentina,1998,55.125,23783.10172,0.36957648396492,1903.0,0.55125,8.378869608156727,2.125713013767222
ARG,Argentina,1999,53.767,22714.51113,0.391513794660568,1887.28500620691,0.53767,8.763895050286898,2.1706404465687408
ARG,Argentina,2000,52.975,22281.38143,0.391106188297272,1862.13626747802,0.52975,8.833938611180134,2.178600963996933
ARG,Argentina,2001,50.969,21066.45813,0.399784564971924,1811.15256973465,0.50969,9.123393313586556,2.210841808742102
ARG,Argentina,2002,48.336,18571.70205,0.317552953958511,1710.03655967315,0.48336,7.134963588969184,1.965007147757991
ARG,Argentina,2003,51.646,20005.13851,0.310135722160339,1713.57461407056,0.51646,7.010575072493226,1.9474197337007335
ARG,Argentina,2004,53.567,21591.4494,0.324794858694077,1743.39987555159,0.53567,7.509250767751387,2.0161356961855597
ARG,Argentina,2005,54.434,23262.40758,0.338950276374817,1771.67852511621,0.5443399999999999,8.175898346205187,2.101190600189974
ARG,Argentina,2006,55.567,24877.24939,0.355539232492447,1775.92032568302,0.55567,8.962918807588558,2.1930959337141527
ARG,Argentina,2007,55.937,26850.66459,0.364846795797348,1787.54472393139,0.5593699999999999,9.797369530920022,2.282113934434473
ARG,Argentina,2008,55.692,27658.48534,0.403679102659225,1789.76497262401,0.55692,11.201491204767008,2.416046912721037
ARG,Argentina,2009,55.526,25747.19768,0.443854510784149,1751.62284425664,0.5552600000000001,11.749884999098212,2.4638434532314815
ARG,Argentina,2010,55.544,28056.25702,0.44069242477417,1760.22478243752,0.5554399999999999,12.646199632766274,2.537356745749862
ARG,Argentina,2011,56.296,29425.75939,0.473123997449875,1760.23036886917,0.56296,14.049329835585388,2.6425746961072956
ARG,Argentina,2012,56.006,28825.96669,0.520179331302643,1736.1033601168,0.56006,15.42150783256464,2.7357631475676305
ARG,Argentina,2013,55.705,29227.66018,0.543917655944824,1725.87355290948,0.5570499999999999,16.53575593570289,2.8055250626976656
ARG,Argentina,2014,55.124,28200.81526,0.543917655944824,1705.42836841011,0.5512400000000001,16.31625985059643,2.792162147449873
ARG,Argentina,2015,54.743,28669.20613,0.543917655944824,1703.46853920997,0.54743,16.721918902757526,2.816720367982673
ARG,Argentina,2016,54.249,27802.10572,0.543917655944824,1646.51253231742,0.54249,16.929887387045664,2.8290805444422165
ARG,Argentina,2017,53.899,28334.90418,0.543917655944824,1648.81283190555,0.53899,17.342146013840562,2.8531397245851076
ARG,Argentina,2018,54.1,27367.11509,0.543917655944824,1638.44003915643,0.541,16.79323469674275,2.8209761086826988
ARG,Argentina,2019,54.355,26629.55294,0.543917655944824,1609.06899778265,0.54355,16.560859194886316,2.807042031360372
AUS,Australia,1991,57.218,35587.56324,0.617311120033264,1850.48498518718,0.57218,20.748376170552515,3.0324679867736384
AUS,Australia,1992,56.24,35342.06871,0.607275784015656,1846.54406020209,0.5624,20.666786046773655,3.028527872817088
AUS,Australia,1993,55.787,36446.61276,0.601339638233185,1863.78451113998,0.55787,21.078917243859696,3.0482733582107007
AUS,Australia,1994,56.943,37534.09511,0.604075372219086,1869.94875172172,0.56943,21.29349902290654,3.0584018159370885
AUS,Australia,1995,58.283,38560.77734,0.607523500919342,1870.32957779945,0.58283,21.49061394462322,3.067616279098046
AUS,Australia,1996,58.233,39567.50397,0.617958426475525,1863.8229920763,0.58233,22.528075039344944,3.114762310906916
AUS,Australia,1997,57.967,40673.38633,0.611847579479218,1861.09850842763,0.57967,23.06765207300598,3.138431292971049
AUS,Australia,1998,58.281,42147.87053,0.613369345664978,1846.62955884966,0.5828099999999999,24.02099135307625,3.178928087785029
AUS,Australia,1999,58.582,43785.30205,0.605032026767731,1848.47500286322,0.58582,24.464082790036052,3.197206033338765
AUS,Australia,2000,59.303,44984.55063,0.60654604434967,1847.48006809129,0.59303,24.90409336162071,3.2150321819927328
AUS,Australia,2001,59.164,45310.0182,0.608154714107513,1814.12893219708,0.59164,25.67335559397211,3.2454537067906783
AUS,Australia,2002,59.459,46580.27533,0.600817263126373,1808.1211102858,0.5945900000000001,26.0315085354028,3.259307671049957
AUS,Australia,2003,59.935,47470.80288,0.60151207447052,1801.57433587603,0.59935,26.444674785002,3.275054806654539
AUS,Australia,2004,60.144,48949.92517,0.603244006633759,1799.36418700095,0.60144,27.285609992676143,3.3063594567260695
AUS,Australia,2005,61.26,49882.95635,0.593034625053406,1797.07360190023,0.6126,26.871343346363457,3.291060415659955
AUS,Australia,2006,61.747,50570.35709,0.588050246238709,1786.90629291713,0.61747,26.95211283157926,3.29406169248534
AUS,Australia,2007,62.415,51529.49405,0.593336462974548,1786.25199533353,0.62415,27.423647307538992,3.311405681609908
AUS,Australia,2008,62.783,52318.48794,0.569114029407501,1786.47657950049,0.62783,26.546977671444505,3.278915905857723
AUS,Australia,2009,61.856,52221.28512,0.577103137969971,1757.96039511667,0.61856,27.714692984711935,3.321962705224697
AUS,Australia,2010,62.066,52556.56848,0.574954748153687,1763.32278712918,0.62066,27.61055201076412,3.318198018888314
AUS,Australia,2011,62.184,53078.95265,0.575421273708344,1765.28954694429,0.62184,27.823621358983345,3.325885349087163
AUS,Australia,2012,61.836,54203.30038,0.582465291023254,1757.21845032634,0.61836,29.055519103770795,3.3692084516132375
AUS,Australia,2013,61.343,54664.76814,0.582097172737122,1756.28963042236,0.61343,29.53533163519338,3.3855872292451137
AUS,Australia,2014,60.849,55253.15962,0.596026003360748,1746.49623902512,0.60849,30.98854785201404,3.4336177121026634
AUS,Australia,2015,61.135,55656.48796,0.604028284549713,1746.48347245406,0.61135,31.486085969816205,3.4495457330027413
AUS,Australia,2016,61.242,56305.89643,0.583876967430115,1736.08106430342,0.61242,30.921165516596716,3.4314409175947205
AUS,Australia,2017,61.599,56648.80866,0.579755961894989,1736.80030412914,0.6159899999999999,30.69816782174771,3.4242029727388603
AUS,Australia,2018,62.232,57414.05823,0.571645140647888,1729.34206312146,0.62232,30.49650692115488,3.4176121498793783
AUS,Australia,2019,62.607,57800.4934,0.571645140647888,1726.79765901284,0.62607,30.56284062599979,3.41978491239997
AUT,Austria,1991,54.168,44316.44481,0.632960438728333,1836.4441713434,0.5416799999999999,28.19817155778767,3.339257137465646
AUT,Austria,1992,54.896,44749.01434,0.632960438728333,1804.93136163252,0.54896,28.586346173570806,3.352929197312529
AUT,Austria,1993,54.759,44615.3248,0.632960438728333,1802.29813196879,0.54759,28.6139941824215,3.3538959052318096
AUT,Austria,1994,56.619,45511.54031,0.632960438728333,1800.5380693988,0.56619,28.25749099826249,3.3413585905216965
AUT,Austria,1995,56.326,46654.29531,0.632960438728333,1774.43638786439,0.56326,29.546010983037608,3.385948742626065
AUT,Austria,1996,55.309,47623.70112,0.621577680110931,1807.2706167889,0.55309,29.614169723895543,3.388252953674789
AUT,Austria,1997,55.097,48590.53469,0.611112892627716,1815.69195567073,0.55097,29.682672632108556,3.3905634624967154
AUT,Austria,1998,55.202,50232.59424,0.607895135879517,1794.03050655954,0.55202,30.833983776798433,3.4286174510914966
AUT,Austria,1999,55.823,52020.99428,0.607916057109833,1797.97135268246,0.55823,31.5083980432798,3.4502541148474752
AUT,Austria,2000,55.69,53551.28775,0.596380054950714,1798.43221117612,0.5569,31.887593064208676,3.462217001980603
AUT,Austria,2001,55.572,54049.25484,0.588483393192291,1785.4201480698,0.55572,32.057338580868844,3.467526130038413
AUT,Austria,2002,55.843,54582.34906,0.584004878997803,1782.84794012249,0.55843,32.017369852452774,3.466278563421963
AUT,Austria,2003,55.921,54937.17159,0.583080470561981,1773.97785450023,0.55921,32.29026943272932,3.4747659288892683
AUT,Austria,2004,54.203,55997.95159,0.572628557682037,1776.46583847686,0.54203,33.301589193015516,3.505605119361647
AUT,Austria,2005,54.765,56908.28746,0.563615024089813,1752.48934906659,0.54765,33.419473132492676,3.5091387580068525
