"Average annual wages"
"US dollars, 2013"
"Category","Wages"
"Switzerland",80619.119
"Luxembourg",79431.886
"Netherlands",75020.17
"Belgium",71946.744
"Norway",70224.32
"United States",70110.188
"Austria",69404.566
"Denmark",66183.342
"Australia",65962.075
"Iceland",65745.818
"Canada",61695.956
"Germany",61579.263
"France",57601.45
"Ireland",57509.791
"Finland",56310.108
"Sweden",55371.556
"United Kingdom",55186.506
"OECD",53884.286
"Italy",50797.933
"Spain",50535.469
"New Zealand",48863.654
"Japan",47518.714
"Slovenia",44669.511
"Korea",42939.049
"Israel",40684.336
"Chile",37974.066
"Portugal",34829.968
"Lithuania",33176.413
"Greece",32292.902
"Czechia",32177.642
"Poland",31864.843
"Costa Rica",31818.801
"Türkiye",31340.314
"Colombia",28897.422
"Estonia",27718.486
"Slovak Rep.",27095.663
"Hungary",25370.055
"Latvia",24852.2
"Mexico",19617.008
