Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,1850,1837.9608265684,1826,1850.33780699633,1875,1881.96113800855,1888.94811998636,1895.96104188194,1903,1887.28500620691,1862.13626747802,1811.15256973465,1710.03655967315,1713.57461407056,1743.39987555159,1771.67852511621,1775.92032568302,1787.54472393139,1789.76497262401,1751.62284425664,1760.22478243752,1760.23036886917,1736.1033601168,1725.87355290948,1705.42836841011,1703.46853920997,1646.51253231742,1648.81283190555,1638.44003915643,1609.06899778265
Australia,1863.95976066404,1850.48498518718,1846.54406020209,1863.78451113998,1869.94875172172,1870.32957779945,1863.8229920763,1861.09850842763,1846.62955884966,1848.47500286322,1847.48006809129,1814.12893219708,1808.1211102858,1801.57433587603,1799.36418700095,1797.07360190023,1786.90629291713,1786.25199533353,1786.47657950049,1757.96039511667,1763.32278712918,1765.28954694429,1757.21845032634,1756.28963042236,1746.49623902512,1746.48347245406,1736.08106430342,1736.80030412914,1729.34206312146,1726.79765901284
Austria,1826.02977823911,1836.4441713434,1804.93136163252,1802.29813196879,1800.5380693988,1774.43638786439,1807.2706167889,1815.69195567073,1794.03050655954,1797.97135268246,1798.43221117612,1785.4201480698,1782.84794012249,1773.97785450023,1776.46583847686,1752.48934906659,1735.66953330982,1724.77914038572,1717.19510018023,1673.07510755993,1665.8438684206,1671.68779057894,1647.85287599045,1632.06762453878,1621.56576445456,1605.28054807562,1618.21077872449,1608.18096742251,1612.6927480831,1611.37422283302
Belgium,1655.92814000428,1618.97413687992,1596.00113493761,1552.05613122218,1552.05613122218,1578.02613341787,1552.05713122226,1565.04413232028,1576.03413324946,1575.38213319433,1589.10261089617,1581.24315890543,1593.64555143097,1598.21986767667,1587.8026490695,1577.67644856314,1591.63766372009,1593.65753175217,1582.50514357277,1563.22521392411,1573.83071067685,1590.23435097738,1587.29507479661,1585.59508664181,1581.59598872649,1575.45686873281,1574.1541719248,1577.91766637202,1583.26399701065,1586.43099700467
Bangladesh,2413.83360941046,2507.76318085963,2512.30627280939,2517.23789879648,2522.57810325469,2528.3392394907,2535.10765686308,2541.36786848475,2547.80003527967,2554.35816406041,2560.82716280636,2561.92864729003,2563.54970020587,2565.57769962881,2576.81655309013,2587.27266987362,2597.65124148528,2591.94284773303,2586.72056431248,2581.94878858753,2577.61601989015,2491.94991179286,2405.78339437532,2319.56666737776,2366.94326704829,2418.75081657411,2473.50895777158,2418.88269322362,2418.88269322362,2418.88269322362
Bulgaria,,,,,,1710.67393856027,1708.20253500711,1706.86747091107,1649.98096841911,1669.49987191658,1640.25376636206,1651.8589372702,1651.25941926434,1640.51106442113,1663.6886642769,1658.64639927674,1654.10266774454,1654.52137793353,1693.59600487594,1646.27530472355,1644.8379390048,1643.59279908073,1644.44984416786,1644.97951238901,1644.05897203691,1644.38528122198,1643.54743239927,1643.25811621541,1644.57156324894,1645.2464639261
Brazil,1879,1868.47049749253,1858,1858.99973103817,1860,1855.23169524477,1850.47561453806,1845.73172654223,1841,1813.84281513654,1837.92704997124,1828.32639443615,1818.72573890106,1811.18251462053,1803.12608917876,1783.13122718687,1779.16785116749,1774.26648478892,1771.26186216357,1764.54671052478,1761.34574713873,1769.62137861968,1765.10217248705,1751.55377078168,1738.86887811381,1722.87580544082,1714.67502802459,1709.59435123556,1706.05716938628,1707.79505786682
Canada,1795.29275976099,1774.18933014911,1772.38697853733,1771.12232132047,1784.99053515429,1785.01634448525,1798.8071303262,1796.67786052231,1792.64300178282,1791.86011874381,1786.1863674886,1773.04081492155,1754.36346241955,1743.80314450329,1753.79995869368,1744.01822226126,1743.54074963857,1742.92562725078,1740.30598015872,1710.83602576185,1714.2084450068,1712.65128203911,1720.63066685975,1714.93540782873,1709.60147943111,1710.78010554478,1705.19238539275,1693.7846611101,1707.05926033192,1689.28093285823
Switzerland,1716.22087515004,1713.775238508,1723.19016208362,1719.49033087277,1741.31133912113,1720.26621854234,1696.87194275558,1687.45360954303,1695.53448485339,1717.40097617804,1712.74308206048,1672.85071746696,1651.2582839353,1664.54053158251,1694.95328783637,1689.9702267496,1679.23838174421,1668.87002879655,1659.45897946613,1650.77879040793,1624.34638188442,1619.31691282911,1603.2313689246,1582.89237113925,1575.32149723039,1589.47508202482,1590.2266622875,1569.53086626813,1561.18279697534,1556.88284435749
Chile,2408.38144329897,2370.22886597938,2365.45979381443,2370.22886597938,2351.15257731959,2313,2313,2256,2299,2277,2263,2242,2250,2235,2232,2157,2165,2128,2095,2074,2070,2047,2024,2015,1990,1988,1974,1954,1940.6,1914.4
China,1975.35399295742,1976.88806287887,1978.4228544564,1981.64529459047,1989.29892990883,2001.83393325498,2017.26468243655,2037.36385895159,2062.05230428812,2082.06654040956,2090.47531061941,2103.51517613363,2118.20137588701,2138.08227702886,2167.89594581493,2192.35458727075,2183.05831502574,2152.6502141501,2131.59268716585,2138.85173747165,2172.71018311543,2178.80911654017,2184.29287571704,2178.3250154072,2178.66247759958,2170.45931702625,2167.22768958674,2168.91884848017,2168.91884848017,2168.91884848017
Colombia,1969,1958.97447660759,1949,1961.95693122963,1975,1970.23276711893,1965.47704133119,1960.7327948611,1956,1956,1956,1956,2032.28862374238,2016.2487367447,2004.25636075234,2013.92866096358,2037.66028152482,2061.67154943672,2085.96575999218,2051.21917623002,2045.43461211512,2029.69562262862,2016.91606511415,2011.75485565498,2004.79305981985,1997.03251098236,1989.17896966082,1974.23145603545,1968.3672617957,1968.3672617957
Costa Rica,2363.53946236309,2278.25879417218,2364.5489356983,2352.41834040734,2376.10670932388,2350.71300978423,2392.5721175028,2371.21228301147,2362.28365341526,2376.1733986911,2367.5843943198,2335.04329381493,2362.69609427883,2356.13488988338,2375.40221132655,2357.84639720887,2365.61307108554,2392.57475254432,2397.88337650963,2354.24310558486,2249.26597942745,2289.88756577249,2242.59931495231,2156.55773728351,2135.53311321817,2156.91050433761,2212.38372016313,2185.28247819394,2127.98844565145,2069.24545655368
Cyprus,,,,,,1899.56747989457,1898.53450304191,1906.27735275449,1912.54193803039,1919.70998578995,1926.39153640869,1950.89405106198,1923.20743222662,1916.04186880715,1878.57526653658,1847.30393494515,1832.92163429337,1862.06064959721,1867.71827216178,1847.10385492023,1844.9967991333,1847.27446839857,1845.26870497187,1810.27908858029,1815.43435788779,1824.33084091894,1839.67539023064,1821.48264674073,1809.58328414591,1805.23978482317
Czech Republic,,,,1856.90359176788,1838.90458603186,1857.90259208624,1852.5774602055,1857.7622797533,1877.4182790524,1893.5347062065,1895.56215453127,1818.31569477487,1816.57018887501,1806.22398234003,1817.06106372272,1816.98824208148,1799.16676354686,1784.36445886035,1789.54051436565,1778.76695172306,1799.50051806914,1805.62334438399,1776.12436865945,1763.00480423859,1776.73758115628,1756.16095223576,1778.52553995783,1784.3711946488,1786.68910987575,1787.54340166384
Germany,1583.15823711075,1554.06344061125,1565.09384775808,1540.1843488366,1536.57699516883,1530.5714736344,1516.75118900596,1507.67613038906,1504.55903364073,1491.51329243354,1465.93780490856,1458.16503173687,1448.92351131952,1443.40800774779,1442.58421828159,1432.42349469614,1453.1885339058,1454.08720699245,1447.32846858318,1405.05586387307,1425.74546871955,1426.89678413249,1407.98210333421,1396.45808736718,1400.41197537511,1400.79309865034,1394.75432367426,1391.33972156934,1389.93177865965,1386.1968343797
Denmark,1440.49975513365,1437.31129290714,1452.36659748712,1448.91917588635,1406.66186407378,1419.14342156645,1412.26397570859,1428.08945490985,1441.1349792782,1456.49725571072,1465.93724479611,1468.67711062473,1462.58458444077,1457.82901056676,1458.07554251772,1451.36391727389,1455.7018067844,1432.76976799283,1430.05460030473,1417.02839525636,1422.30635684719,1436.98015165271,1423.34782655838,1425.63512145749,1413.80822860337,1407.14810887239,1412.04575083871,1405.40401793354,1381.92945098926,1380.60764340558
Dominican Republic,2171.70245935725,2169.49961078905,2140.25933293833,2233.48628759302,2215.70121281645,2234.44796428976,2206.33089653809,2223.51272741466,2283.07197832995,2303.45594455202,2206.56689528768,2187.59997740215,2137.66149219353,2130.04085007,2151.75607450809,2153.18799737017,2123.36287831209,2132.85932060208,2131.66636623381,2131.33057397449,2114.7668591412,2107.80986848101,2114.49883371816,2122.62809065895,2181.51098536797,2156.59748559201,2142.1020102401,2142.1020102401,2142.1020102401,2142.1020102401
Ecuador,,,,,,1943,1936.31032748729,1929.6436872537,1923,1788.70381753115,1800.22634179496,1811.82309219063,1823.49454687021,1835.24118706592,1782.71586349476,1808.50578717578,1772.74806870271,1729.05388229675,1758.10093758924,1734.47465014855,1719.4629336059,1699.52958497852,1664.7306345015,1661.24541892454,1649.26617828494,1620.19818803133,1572.31251123342,1566.35958084662,1568.14027351186,1551.64280948966
Spain,1746.52839962172,1755.52940168123,1747.56539985899,1739.55239802555,1738.50739778644,1738.79639785257,1740.33928927078,1742.63677191539,1751.10587060624,1756.27373368015,1752.82075838745,1762.06978335498,1763.64741830528,1754.63317012726,1739.90120009097,1723.71916932259,1713.74063366858,1701.30779766684,1710.12620246177,1715.80455861982,1705.77553458184,1710.69165947777,1696.72661811367,1689.82440964343,1690.56399650873,1694.23718822333,1701.45006195262,1689.47621970404,1695.50101681915,1685.95150557715
Estonia,,,,,,1983.22914169974,1982.28225962469,1980.5513646261,1980.16144802278,1977.34491250144,1977.87288569964,1970.4960924227,1972.6898895497,1978.33471968059,1986.46066477368,2008.37334639882,2000.9903456867,1998.48461299347,1967.76981778539,1832.14013180715,1874.70169677066,1918.86301369863,1885.68660488627,1865.8429023132,1859.4318744839,1851.61663188313,1855.19929566192,1856.68277474669,1810.37875288684,1797.21453550251
Finland,1726.42197374818,1707.33799373847,1706.44731400211,1705.86514553167,1726.84014869888,1732.45251857969,1730.97683305469,1726.78554929317,1716.50511821723,1716.14964718413,1704.71345334377,1689.91650610148,1682.49873117916,1676.4135021097,1677.69150052466,1667.03873661582,1661.74322350268,1658.02532851642,1653.79985243292,1632.52051956331,1637.91237423338,1630.3018346814,1619.73318727749,1612.17329601451,1609.53399057687,1607.1400269435,1606.30325023667,1600.32008743852,1597.73047484864,1590.69453809845
France,1644.85066858497,1637.7817276028,1635.15248332413,1626.6858847772,1623.23356541797,1601.21158807359,1597.2815088944,1595.64532821433,1585.28968091215,1578.30450977251,1558.33880165612,1537.95660377359,1503.88673461568,1507.25677073358,1530.85601162924,1532.07590897002,1515.01120006013,1536.81550088915,1542.7960853699,1531.45117267609,1539.80306190866,1546.33118899734,1540.88061901253,1526.24200073556,1518.11103387722,1519.48435617539,1522.06935829071,1505.3678615042,1495.45792132034,1504.91235283781
United Kingdom,1745.94408522119,1720.54658385093,1714.33046202036,1710.31607236368,1720.59048403223,1722.62524933672,1722.09249896872,1721.19544216469,1716.99944019407,1708.6103928371,1692.9539541907,1695.97647228637,1678.56139566093,1669.38034282677,1666.71573781984,1669.7371727658,1663.98572298822,1665.82136292464,1660.46880537321,1638.33173274798,1643.20782797612,1639.81584702709,1655.01902549079,1665.97488620572,1672.43403189881,1669.46515474792,1667.69889898719,1668.94905948779,1663.18888383671,1667.94771142193
Greece,2111.62291707557,2112.89086600028,2112.86896405601,2112.1438210472,2110.19881805692,2110.70629448024,2109.40048298191,2107.94476754073,2108.43442464635,2104.85240852446,2107.63844286413,2101.13044603293,2093.2151483101,2091.478708449,2082.55181805742,2136.23901680056,2125.33637405048,2110.98857785184,2106.26003838266,2081.21163802029,2019.57079830326,2037.70031630692,2055.37413342038,2059.21990339469,2020.88162108039,2031.14044153109,2030.09039855206,2045.24137432014,2044.43100594298,2036.4635206703
"China, Hong Kong SAR",2278.52184934495,2309.90455979018,2224.17136504035,2287.95930621571,2291.92835821652,2254.84975312425,2304.26773615516,2257.81318088885,2259.15270952419,2301.92569626219,2330.66707633014,2326.35778948359,2343.43079331465,2330.89876030052,2354.37507837843,2346.38608538861,2315.49495860638,2327.7800560632,2277.02279893995,2251.99878094078,2302.08001851443,2256.89447684712,2233.45914619944,2225.53576114137,2175.43043013906,2185.51376791203,2176.56813639524,2147.57436171632,2147.57436171632,2147.57436171632
Croatia,,,,,,1923.68679524466,1923.6843112489,1923.74613042537,1923.67957296828,1923.65165885852,1922.08853560977,1923.37963856197,1923.65325393233,1924.73450749351,1926.56113119548,1926.50483954688,1928.64449522276,1930.66139509262,1932.20536100546,1928.89473833178,1942.9881528018,1940.26442013558,1923.78467924672,1909.47262059974,1891.61518485832,1827.6509949266,1834.90973668249,1823.7675980935,1810.86957827887,1831.32341007765
Hungary,1888.7743518049,1857.69940102971,1815.94243592554,1815.94243592554,1943.1555156615,1948.01097672012,1945.97854785059,1954.30461743582,1945.06134212226,1952.40325731147,1932.40204868046,1897.76496349303,1883.63229679713,1856.28743799054,1858.61112248412,1834.05318072763,1813.87967069593,1787.78102621538,1791.23799983716,1758.222505075,1766.35687026284,1753.67064949273,1738.25180493411,1733.62520415674,1748.55144428933,1745.94798262841,1760.15506579565,1747.35415208937,1728.87776968242,1725.22796480691
Indonesia,1909.30214737919,1928.36246238854,1895.62026184139,1897.33486957071,1929.50971115144,1927.96387716889,1917.22161677023,1923.39592496962,1956.47301316145,1971.89289614736,1979.1156899085,2021.00055513342,1993.86928999313,2020.79980875606,2046.92359580893,2024.37908629388,2039.52480467645,2078.15532650998,2055.93802997504,2075.39601995221,2066.00066002697,2034.81979604342,2037.89556891999,2034.99957130568,2017.97212114601,2024.2869452186,2014.53888630469,2019.92339539505,2019.92339539505,2019.92339539505
India,2078.47948648748,2079.3041861084,2076.91051998543,2075.86927951823,2075.68732266614,2077.09714754615,2079.83032028541,2079.38246466483,2080.74117528906,2082.69378202302,2086.62839114097,2086.7727865028,2088.89356313695,2091.99586551616,2095.77821237484,2096.91608709019,2097.09653681833,2098.12133084599,2099.63309058128,2103.53618490971,2110.39267590654,2113.62459192292,2115.71386434159,2117.11331626455,2118.54471055051,2118.82149483149,2121.24307107548,2122.94068248459,2122.94068248459,2122.94068248459
Ireland,2080.2445738163,2045.190150666,1996.79411870471,1970.11090108281,1970.37250125562,1962.00129572711,1953.59919210706,1954.1941393222,1953.19404355812,1941.88287483442,1932.72378818257,1923.52937812396,1904.27627133913,1886.78643486913,1875.25595718632,1883.19370126892,1878.81295664881,1864.9322829648,1843.89620758483,1811.8029862916,1720.97381659398,1736.53149753786,1737.86125274317,1743.47263539131,1757.03059248741,1770.58430751139,1762.92321070813,1774.74978312983,1785.40216270954,1771.97794230727
Iceland,1664.4016373095,1667.95962249219,1667.95962249219,1682.91890161768,1654.66248549175,1641.36534849131,1658.81784080439,1683.7499726802,1664.63533824208,1644.68963274142,1695.38496755558,1706.18889136844,1672.11497780482,1638.87213530373,1645.52070380395,1637.20999317868,1627.23714042835,1605.62929280264,1607.2914349277,1512.25650332728,1503.05147058824,1511.8303030303,1497.88816180845,1499.77338756537,1488.4912081679,1486.40573318633,1473.99261603376,1464.45344129555,1449.39528023599,1454.49482503696
Israel,1904.34166878924,1897.26233173054,1950.86302660353,1952.88569433458,1993.3390489557,2017.61106172838,2035.53907319684,2040.49768557203,2015.45924767191,2023.33848173095,2034.74208909033,1998.01473439084,2015.55430785823,1996.87808799006,1973.28948691659,1965.09572601597,1951.71924629182,1964.7948558278,1960.65036774837,1962.02768960234,1956.26718555072,1946.81303439424,1918.91043956357,1908.59741768462,1894.17542136065,1895.90942412208,1921.19098068296,1920.53250811581,1912.89232128093,1900.87477881961
Italy,1856.40135855818,1847.46831313152,1850.49741093755,1850.64017966634,1850.3267706602,1856.21289433328,1866.15175598559,1859.86389820852,1873.13292810656,1869.87801800286,1850.1979712184,1837.63621651548,1826.19009524448,1815.103813227,1814.61554241732,1811.10171842616,1811.85161476171,1817.70744083846,1806.53939123886,1775.16963491007,1776.77324596091,1772.55737493813,1733.64227320782,1719.09030026131,1716.34117903052,1717.46897969506,1721.6975133508,1719.15929080328,1722.31845570449,1717.83381765276
Jamaica,1938.222785563,1947.97491548733,1963.45250413162,1951.13264844943,1958.878216656,1948.52499095232,1969.2647120222,1963.94735253154,1999.21074578903,1983.45027484391,1963.44926830631,1970.63687961104,1965.56637367778,,,,,,,,,,,,,,,,,
Japan,2028.41875,2010.74189814815,1962.13055555556,1926.77685185185,1909.1,1911.6,1914.8,1887.1,1866.5,1850.9,1858.5,1843.1,1830.6,1834.2,1841.9,1828.2,1836.4,1826.9,1807.7,1757.7,1779.3,1775.3,1786.8,1766.5,1762.1,1756.9,1747.1,1743.7,1729,1691.08525950385
Cambodia,,,,2190.64366581878,2160.65794361947,2187.28132146892,2191.9963317307,2202.3345723693,2239.29135485226,2265.42680712383,2296.89080399973,2321.0561910821,2367.16666726562,2366.47583954266,2374.30391720945,2373.75801940349,2374.1351701253,2380.8865699979,2382.56514615016,2389.08469694851,2390.16200061907,2408.06212706842,2414.25222223109,2423.97082125213,2442.80533747454,2458.30913226675,2467.99005201637,2474.91189335301,2474.91189335301,2474.91189335301
