Country,Country Code,Series Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",..,..,..,..,..,..,..,..,..,1617.826475,1454.110782,1774.308743,1815.9282,1776.918207,1908.114782,1929.723897,2155.353068,2191.504356,2565.022086,2848.586061,2757.052587,2985.319145,3046.579931,3017.942544,2967.692067,2958.785399,2952.998916,2902.392113,2927.245144,2769.685745,2144.16657,1981.710168,1992.424394,,
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",3859.056862,3603.488845,3972.123929,4328.413978,4935.45222,5418.148325,4856.768289,5318.961888,6042.769898,6503.834597,7109.627581,7454.478313,7896.097378,8366.433914,8874.099288,9457.386999,10099.28151,10940.36062,11383.78874,11864.53568,12199.31045,12392.65401,12539.78386,12788.74723,13110.61788,13566.90583,14095.75905,14698.53762,15065.74957,14650.39593,16113.13652,17097.47836,17975.79839,,
Algeria,DZA,"GDP per capita, PPP (constant 2021 international $)",11314.86474,11241.41542,10743.70635,10414.03482,10588.44337,10808.87887,10725.96735,11094.88754,11292.0373,11558.22047,11742.59468,12213.12635,12835.18144,13226.76505,13738.49564,13920.69406,14114.67452,14206.77671,14104.42817,14496.42113,14641.96409,14697.53961,14778.19143,15073.76294,15239.51715,15511.68588,15427.66419,15343.42612,15199.199,14194.15575,14496.86547,14782.2003,15159.32424,,
Angola,AGO,"GDP per capita, PPP (constant 2021 international $)",7218.441432,6578.068575,4843.155884,4751.471649,5284.703133,5800.962514,6015.186847,6090.095878,6021.229148,6002.98914,6049.163212,6645.477766,6609.214889,7074.025947,7845.890153,8435.455047,9263.980703,9916.909351,9629.091948,9672.839224,9627.020598,10051.33991,10150.9161,10250.5924,9980.929882,9381.809726,9042.117129,8620.214664,8274.542562,7556.967928,7408.126591,7397.486427,7244.893053,,
Argentina,ARG,"GDP per capita, PPP (constant 2021 international $)",18295.6092,19476.28406,20791.34515,21711.84279,20819.49995,21695.59495,23172.15834,23783.10172,22714.51113,22281.38143,21066.45813,18571.70205,20005.13851,21591.4494,23262.40758,24877.24939,26850.66459,27658.48534,25747.19768,28056.25702,29425.75939,28825.96669,29227.66018,28200.81526,28669.20613,27802.10572,28334.90418,27367.11509,26629.55294,23877.09314,26300.27426,27627.96348,27104.98,,
Armenia,ARM,"GDP per capita, PPP (constant 2021 international $)",5326.752856,3136.724283,2958.880372,3200.896495,3480.755937,3717.335765,3879.17938,4211.512768,4406.967067,4589.00825,5044.116478,5731.353466,6569.260234,7299.400019,8362.90084,9525.231468,10898.84838,11727.48213,10143.23508,10438.56419,10990.1771,11796.27412,12194.01895,12667.37573,13112.76009,13192.99407,14243.8749,15037.04524,16215.3608,15052.93598,15921.70528,17886.17839,19230.18993,,
Australia,AUS,"GDP per capita, PPP (constant 2021 international $)",35587.56324,35342.06871,36446.61276,37534.09511,38560.77734,39567.50397,40673.38633,42147.87053,43785.30205,44984.55063,45310.0182,46580.27533,47470.80288,48949.92517,49882.95635,50570.35709,51529.49405,52318.48794,52221.28512,52556.56848,53078.95265,54203.30038,54664.76814,55253.15962,55656.48796,56305.89643,56648.80866,57414.05823,57800.4934,57023.66782,58145.55136,59845.7858,60408.94337,,
Austria,AUT,"GDP per capita, PPP (constant 2021 international $)",44316.44481,44749.01434,44615.3248,45511.54031,46654.29531,47623.70112,48590.53469,50232.59424,52020.99428,53551.28775,54049.25484,54582.34906,54937.17159,55997.95159,56908.28746,58478.7421,60490.05143,61177.34622,58829.05799,59749.45838,61291.65357,61396.14888,60882.32026,60864.9199,60970.9828,61592.20228,62555.69347,63798.21387,64629.82578,60295.49515,62912.17411,65602.25653,64336.03753,,
Azerbaijan,AZE,"GDP per capita, PPP (constant 2021 international $)",10399.39312,7928.372295,6005.197797,4757.584413,4147.974691,4159.597892,4358.6048,4749.174441,5056.04634,5571.309502,6075.614524,6599.657606,7218.471886,7817.716107,9901.92663,13172.58129,16280.08351,17656.96345,18901.88576,19621.38435,19386.7434,19545.07186,20414.83148,20716.14152,20694.77876,19830.32232,19675.95989,19798.83354,20122.71285,19126.0949,20111.3757,21051.26876,21262.298,,
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2021 international $)",31139.85062,29404.3305,28946.93406,29337.82982,30119.43563,30898.83624,30830.06023,31827.27197,33648.02064,34587.10511,35062.17075,35600.32702,34730.6648,34607.7421,35355.18605,35778.72871,35786.71315,34488.00695,32620.77781,32701.95039,32526.20476,33167.60652,31921.71184,32226.92362,32290.69974,31756.84062,32442.72299,33106.69405,32495.33387,25457.08039,29340.47235,32408.71186,33105.60386,,
Bahrain,BHR,"GDP per capita, PPP (constant 2021 international $)",47644.02369,49511.94774,54433.13784,52886.57917,53537.68273,54289.43777,54512.85512,55638.69318,56522.22616,57968.99594,57280.69864,55096.65712,54431.87668,54045.09262,53478.26622,52691.93261,52731.79203,52765.38973,50665.75065,50704.84797,53132.32842,54516.84066,55376.40051,55065.81895,54149.91315,54107.07522,53859.77496,54893.07244,56749.96284,53814.24526,54954.67579,57465.17298,57213.09136,,
Bangladesh,BGD,"GDP per capita, PPP (constant 2021 international $)",2101.38366,2174.382329,2234.810122,2279.094353,2351.703879,2413.542982,2475.595746,2555.061192,2624.065538,2712.935122,2803.55472,2866.434543,2958.915031,3071.837788,3231.613707,3407.42735,3608.915438,3787.938276,3942.136312,4125.463902,4352.426434,4592.048409,4822.726214,5068.639657,5352.711333,5682.535535,6005.707188,6392.59334,6838.326116,7015.197928,7441.06914,7888.163891,8242.39799,,
Barbados,BRB,"GDP per capita, PPP (constant 2021 international $)",16264.92949,15286.35639,15362.72722,15636.11619,15925.52159,16543.32871,17320.36746,17963.13908,18017.6926,18851.57569,18380.25889,18404.14949,18689.34185,18845.24068,19488.00257,20571.81044,20899.99107,20922.40769,19770.52666,19253.40887,19050.56737,18936.08881,18695.68329,18665.17698,18464.66309,18754.66514,18740.34883,18484.69764,18572.50954,15749.03802,15683.88471,18469.57659,19224.46212,,
Belarus,BLR,"GDP per capita, PPP (constant 2021 international $)",12197.7878,11002.60175,10143.98401,8967.730734,8061.196032,8314.856562,9301.327175,10128.15604,10519.74892,11182.45484,11771.08721,12443.93226,13413.92656,15052.1182,16579.87317,18349.8719,20019.61116,22137.94729,22236.83877,24012.6133,25404.7566,25879.13194,26147.62536,26564.43472,25513.21329,24846.83015,25503.98099,26363.46298,26798.82064,26731.49538,27611.18011,26537.50831,27718.32312,,
