Country,Sex,Year,Value 
Afghanistan,Sex: Total,2021,41.86
Afghanistan,Sex: Male,2021,42.71
Afghanistan,Sex: Female,2021,28.05
Afghanistan,Sex: Total,2020,52.91
Afghanistan,Sex: Male,2020,55.13
Afghanistan,Sex: Female,2020,30.6
Afghanistan,Sex: Total,2017,46.54
Afghanistan,Sex: Male,2017,48.07
Afghanistan,Sex: Female,2017,32.73
Afghanistan,Sex: Total,2014,42.87
Afghanistan,Sex: Male,2014,43.79
Afghanistan,Sex: Female,2014,32.25
Angola,Sex: Total,2022,48.57
Angola,Sex: Male,2022,50.76
Angola,Sex: Female,2022,43.59
Angola,Sex: Total,2021,46.81
Angola,Sex: Male,2021,48.92
Angola,Sex: Female,2021,41.58
Angola,Sex: Total,2019,46.77
Angola,Sex: Male,2019,49.35
Angola,Sex: Female,2019,40.76
Albania,Sex: Total,2023,43.68
Albania,Sex: Male,2023,44.59
Albania,Sex: Female,2023,42.67
Albania,Sex: Total,2022,43.73
Albania,Sex: Male,2022,44.8
Albania,Sex: Female,2022,42.53
Albania,Sex: Total,2021,43.34
Albania,Sex: Male,2021,44.35
Albania,Sex: Female,2021,42.13
Albania,Sex: Total,2020,42.61
Albania,Sex: Male,2020,43.56
Albania,Sex: Female,2020,41.45
Albania,Sex: Total,2019,43.36
Albania,Sex: Male,2019,44.3
Albania,Sex: Female,2019,42.26
Albania,Sex: Total,2018,43.45
Albania,Sex: Male,2018,44.29
Albania,Sex: Female,2018,42.45
Albania,Sex: Total,2017,43.19
Albania,Sex: Male,2017,43.95
Albania,Sex: Female,2017,42.28
Albania,Sex: Total,2016,42.85
Albania,Sex: Male,2016,43.57
Albania,Sex: Female,2016,42
Albania,Sex: Total,2015,42.43
Albania,Sex: Male,2015,43.38
Albania,Sex: Female,2015,41.23
Albania,Sex: Total,2014,42.13
Albania,Sex: Male,2014,42.96
Albania,Sex: Female,2014,41.02
Albania,Sex: Total,2013,43.28
Albania,Sex: Male,2013,44.43
Albania,Sex: Female,2013,41.63
Albania,Sex: Total,2012,41.85
Albania,Sex: Male,2012,42.58
Albania,Sex: Female,2012,40.67
Albania,Sex: Total,2011,37.58
Albania,Sex: Male,2011,38.35
Albania,Sex: Female,2011,36.41
Albania,Sex: Total,2010,43.49
Albania,Sex: Male,2010,44.44
Albania,Sex: Female,2010,41.82
Albania,Sex: Total,2009,43.79
Albania,Sex: Male,2009,44.94
Albania,Sex: Female,2009,41.67
Albania,Sex: Total,2008,44.74
Albania,Sex: Male,2008,45.98
Albania,Sex: Female,2008,42.67
Albania,Sex: Total,2007,44.62
Albania,Sex: Male,2007,46.27
Albania,Sex: Female,2007,41.86
Albania,Sex: Total,2002,42.63
Albania,Sex: Male,2002,43.89
Albania,Sex: Female,2002,39.97
United Arab Emirates,Sex: Total,2023,48.73
United Arab Emirates,Sex: Male,2023,48.61
United Arab Emirates,Sex: Female,2023,49.1
United Arab Emirates,Sex: Total,2022,51.14
United Arab Emirates,Sex: Male,2022,51.19
United Arab Emirates,Sex: Female,2022,50.97
United Arab Emirates,Sex: Total,2019,52.55
United Arab Emirates,Sex: Male,2019,52.46
United Arab Emirates,Sex: Female,2019,52.82
United Arab Emirates,Sex: Total,2018,52.16
United Arab Emirates,Sex: Male,2018,51.76
United Arab Emirates,Sex: Female,2018,53.88
United Arab Emirates,Sex: Total,2017,56.33
United Arab Emirates,Sex: Male,2017,53.86
United Arab Emirates,Sex: Female,2017,65.89
Argentina,Sex: Total,2023,37.05
Argentina,Sex: Male,2023,41.61
Argentina,Sex: Female,2023,31.57
Argentina,Sex: Total,2022,36.89
Argentina,Sex: Male,2022,41.36
Argentina,Sex: Female,2022,31.42
Argentina,Sex: Total,2021,36.78
Argentina,Sex: Male,2021,41.28
Argentina,Sex: Female,2021,31.04
Argentina,Sex: Total,2020,35.63
Argentina,Sex: Male,2020,39.83
Argentina,Sex: Female,2020,30.31
Argentina,Sex: Total,2019,36.75
Argentina,Sex: Male,2019,41.54
Argentina,Sex: Female,2019,30.86
Argentina,Sex: Total,2018,37.21
Argentina,Sex: Male,2018,42.18
Argentina,Sex: Female,2018,31.07
Argentina,Sex: Total,2017,37.59
Argentina,Sex: Male,2017,42.38
Argentina,Sex: Female,2017,31.58
Argentina,Sex: Total,2014,38.61
Argentina,Sex: Male,2014,43.68
Argentina,Sex: Female,2014,31.96
Argentina,Sex: Total,2013,38.9
Argentina,Sex: Male,2013,43.9
Argentina,Sex: Female,2013,32.31
Argentina,Sex: Total,2012,38.98
Argentina,Sex: Male,2012,44.26
Argentina,Sex: Female,2012,32.13
Argentina,Sex: Total,2011,39.65
Argentina,Sex: Male,2011,44.77
Argentina,Sex: Female,2011,32.94
Argentina,Sex: Total,2010,39.56
Argentina,Sex: Male,2010,44.78
Argentina,Sex: Female,2010,32.76
Argentina,Sex: Total,2009,39.29
Argentina,Sex: Male,2009,44.65
Argentina,Sex: Female,2009,32.45
Argentina,Sex: Total,2008,39.96
Argentina,Sex: Male,2008,45.42
Argentina,Sex: Female,2008,32.89
Argentina,Sex: Total,2006,39.68
Argentina,Sex: Male,2006,45.65
Argentina,Sex: Female,2006,32.11
Argentina,Sex: Total,2005,39.53
Argentina,Sex: Male,2005,45.49
Argentina,Sex: Female,2005,31.95
Argentina,Sex: Total,2004,38.89
Argentina,Sex: Male,2004,44.78
Argentina,Sex: Female,2004,31.44
Armenia,Sex: Total,2018,45.97
Armenia,Sex: Male,2018,48.44
Armenia,Sex: Female,2018,42.91
Armenia,Sex: Total,2017,42.75
Armenia,Sex: Male,2017,45.39
Armenia,Sex: Female,2017,39.86
Armenia,Sex: Total,2016,42.58
Armenia,Sex: Male,2016,45.39
Armenia,Sex: Female,2016,39.45
Armenia,Sex: Total,2015,43.8
Armenia,Sex: Male,2015,46.96
Armenia,Sex: Female,2015,40.2
Armenia,Sex: Total,2014,45.23
Armenia,Sex: Male,2014,49.3
Armenia,Sex: Female,2014,40.52
Armenia,Sex: Total,2013,45.77
Armenia,Sex: Male,2013,48.14
Armenia,Sex: Female,2013,42.63
Armenia,Sex: Total,2012,45.61
Armenia,Sex: Male,2012,48.42
Armenia,Sex: Female,2012,42.23
Armenia,Sex: Total,2011,45.37
Armenia,Sex: Male,2011,48.29
Armenia,Sex: Female,2011,41.71
Armenia,Sex: Total,2010,46.43
Armenia,Sex: Male,2010,49.48
Armenia,Sex: Female,2010,41.85
Armenia,Sex: Total,2009,45.87
Armenia,Sex: Male,2009,48.9
Armenia,Sex: Female,2009,41.81
Armenia,Sex: Total,2008,46.56
Armenia,Sex: Male,2008,49.29
Armenia,Sex: Female,2008,42.96
Armenia,Sex: Total,2007,45.1
Armenia,Sex: Male,2007,47.86
Armenia,Sex: Female,2007,41.18
Antigua and Barbuda,Sex: Total,2023,40.85
Antigua and Barbuda,Sex: Male,2023,42.11
Antigua and Barbuda,Sex: Female,2023,39.62
Antigua and Barbuda,Sex: Total,2018,40.08
Antigua and Barbuda,Sex: Male,2018,40.12
Antigua and Barbuda,Sex: Female,2018,40.03
Austria,Sex: Total,2023,32.35
Austria,Sex: Male,2023,35.5
Austria,Sex: Female,2023,28.91
Austria,Sex: Total,2022,32.49
Austria,Sex: Male,2022,35.78
Austria,Sex: Female,2022,28.83
Austria,Sex: Total,2021,32.43
Austria,Sex: Male,2021,35.83
Austria,Sex: Female,2021,28.58
Austria,Sex: Total,2020,33.81
Austria,Sex: Male,2020,37.33
Austria,Sex: Female,2020,29.86
Austria,Sex: Total,2019,34.56
Austria,Sex: Male,2019,38.21
Austria,Sex: Female,2019,30.4
Austria,Sex: Total,2018,34.41
Austria,Sex: Male,2018,38.05
Austria,Sex: Female,2018,30.25
Austria,Sex: Total,2017,34.2
Austria,Sex: Male,2017,37.86
Austria,Sex: Female,2017,30.06
Austria,Sex: Total,2016,34.37
Austria,Sex: Male,2016,38.04
